timestamp,new_position,prev_position,turnover,cost
2023-01-01 00:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-01 16:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-02 23:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-04 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-04 21:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-06 16:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-07 07:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-08 15:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-09 21:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-11 22:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-12 14:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-12 20:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-13 00:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-13 21:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-14 14:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-15 19:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-16 09:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-16 20:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-17 03:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-17 17:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-18 00:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-19 09:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-21 11:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-22 17:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-22 22:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-23 04:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-23 13:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-23 23:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-24 11:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-25 13:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-26 15:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-27 17:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-28 09:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-29 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-30 06:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-31 06:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-01 07:00:00+00:00,-1.0,1.0,2.0,0.0
