scope,cumulative_return,annualized_return,annualized_volatility,downside_volatility_annualized,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,ulcer_index,time_under_water_ratio,benchmark_cumulative_return,benchmark_annualized_return,excess_cumulative_return,tracking_error_annualized,information_ratio,turnover_mean,turnover_annualized,hit_rate,avg_holding_bars,profit_factor,diag_total_bars,diag_fraction_long,diag_fraction_short,diag_fraction_flat,diag_flip_count,window_idx,window_start,window_end
aggregate,0.247741627593703,2.847325177472074,0.45008391368789674,0.25590341864708677,3.2175968857070063,5.659121736807184,-0.10178077500059246,27.975078569164953,-0.006490448278669092,-0.010630788531284083,0.036585471794264184,0.9631944444444445,-0.16869390838627496,-0.6752532138512151,0.41643553597997796,0.9419623547082038,2.521011442493749,0.025,219.15,0.49142156862745096,45.333333333333336,1.1510179263797011,1440,0.05,0.5166666666666667,0.43333333333333335,31,,,
window_0_2025-02-24_2025-03-15,0.004603739893840109,0.08750149662900597,0.5616568092438221,0.3398994201553309,0.4290769296449705,0.7090155644113721,-0.10178077500059246,0.8597055448683372,-0.008007917103618699,-0.014363694415695807,0.049293673051506316,0.98125,-0.12377490720600326,-0.9104596130219615,0.12837864709984337,1.2379693756910006,1.8885403115513881,0.022916666666666665,200.8875,0.4564459930313589,47.833333333333336,1.017998844116162,480,0.05,0.55,0.4,10,0.0,2025-02-24,2025-03-15
window_1_2025-04-09_2025-04-28,0.04053190327697331,1.0659830345871582,0.38580593579828854,0.18311257977276935,2.0712717044151727,4.364030691971318,-0.07686268068965818,13.868668449012153,-0.004720301495243989,-0.0076858763200537234,0.03199000666408881,0.975,0.2401226151812108,49.92109794487256,-0.1995907119042375,0.6156750028684987,-5.278846621927094,0.035416666666666666,310.4625,0.45993031358885017,31.88888888888889,1.1030093569463193,480,0.1,0.5,0.4,13,1.0,2025-04-09,2025-04-28
window_2_2025-11-03_2025-11-22,0.18428646273059668,20.953520325577987,0.3770677246709676,0.21195756487483453,8.381454564736817,14.91041852657949,-0.04127023915146033,507.7150207121239,-0.0065251062431891495,-0.009094995901018171,0.01600736566493633,0.8854166666666666,-0.2349661538383705,-0.9924886524174054,0.4192526165689672,0.8608304099068769,9.168014366472123,0.016666666666666666,146.1,0.5666666666666667,60.0,1.4146661465946577,480,0.0,0.5,0.5,7,2.0,2025-11-03,2025-11-22
