timestamp,open,high,low,close,volume,position,asset_return,realized_vol_24,position_lag,turnover
2025-02-24 00:00:00+00:00,96299.99,96428.57,96222.19,96265.67,0.12722,1.0,0.000546183306393111,0.009422796803396439,0.0,1.0
2025-02-24 01:00:00+00:00,96277.29,96362.22,95811.29,95931.23,0.10658,1.0,-0.0034741356913633448,0.009975408654971403,1.0,0.0
2025-02-24 02:00:00+00:00,95849.23,96106.39,95795.0,95795.0,0.03708,1.0,-0.001420079780067418,0.009979968781028083,1.0,0.0
2025-02-24 03:00:00+00:00,95770.33,95770.33,95366.85,95467.03,0.58684,1.0,-0.0034236651182212308,0.01045115002316264,1.0,0.0
2025-02-24 04:00:00+00:00,95424.02,95514.96,95177.19,95231.0,0.53302,1.0,-0.002472371875400281,0.01064444863096189,1.0,0.0
2025-02-24 05:00:00+00:00,95231.0,95743.82,95231.0,95743.82,0.22101,1.0,0.0053850111833331216,0.012069914321329702,1.0,0.0
2025-02-24 06:00:00+00:00,95734.58,95882.14,95624.77,95813.24,0.09731,1.0,0.0007250598524271012,0.012009902841417478,1.0,0.0
2025-02-24 07:00:00+00:00,95797.98,95903.18,95716.51,95808.91,0.04287,1.0,-4.519208410025399e-05,0.011917422636240639,1.0,0.0
2025-02-24 08:00:00+00:00,95882.6,95905.08,95408.18,95451.09,0.21019,1.0,-0.0037347257160113,0.012335716632721653,1.0,0.0
2025-02-24 09:00:00+00:00,95438.65,96082.87,95438.65,95622.91,0.05337,1.0,0.001800084210667574,0.012449049845716252,1.0,0.0
2025-02-24 10:00:00+00:00,95903.96,95903.96,95379.89,95567.68,0.09642,1.0,-0.0005775812511876754,0.012153458067570776,1.0,0.0
2025-02-24 11:00:00+00:00,95500.29,95818.91,95500.0,95818.91,0.18201,1.0,0.0026288176086308734,0.012446966873119643,1.0,0.0
2025-02-24 12:00:00+00:00,95818.91,95839.76,95707.04,95742.37,0.03489,1.0,-0.0007987984835144957,0.011522156675188832,1.0,0.0
2025-02-24 13:00:00+00:00,95706.41,95971.48,95424.02,95647.06,1.40832,1.0,-0.0009954840265600229,0.011291340720183314,1.0,0.0
2025-02-24 14:00:00+00:00,95697.63,95791.48,94682.6,94765.92,2.66477,1.0,-0.009212410710794483,0.014260778317944487,1.0,0.0
2025-02-24 15:00:00+00:00,94700.0,94820.45,93949.43,94321.07,1.81717,1.0,-0.004694198083023848,0.014869457228361629,1.0,0.0
2025-02-24 16:00:00+00:00,94327.17,94875.96,94327.17,94470.59,1.10563,1.0,0.0015852237469315966,0.015018409075019366,1.0,0.0
2025-02-24 17:00:00+00:00,94470.59,95112.1,94410.3,94647.28,0.72623,1.0,0.0018703175242158476,0.015068133795565009,1.0,0.0
2025-02-24 18:00:00+00:00,94647.28,94815.5,94219.37,94276.01,0.27557,1.0,-0.003922669515700861,0.015333801683215858,1.0,0.0
2025-02-24 19:00:00+00:00,94204.4,94458.93,93800.0,93960.89,0.66991,1.0,-0.0033425258451221795,0.015568140232765279,1.0,0.0
2025-02-24 20:00:00+00:00,93972.15,94510.58,93972.15,93984.96,0.46018,1.0,0.0002561704130303877,0.015494319606265556,1.0,0.0
2025-02-24 21:00:00+00:00,94099.71,94330.08,93695.34,93955.75,0.50992,1.0,-0.0003107944079564495,0.015496551019786494,1.0,0.0
2025-02-24 22:00:00+00:00,94059.71,94059.71,92546.93,92546.93,5.10426,1.0,-0.014994505392166069,0.02085545990816574,1.0,0.0
2025-02-24 23:00:00+00:00,92546.93,92891.65,91425.0,91523.34,5.45023,1.0,-0.01106022641701887,0.022293647178469825,1.0,0.0
2025-02-25 00:00:00+00:00,91628.74,92142.86,91061.24,91807.18,1.48512,0.0,0.0031012854207461693,0.022748637885356943,1.0,1.0
2025-02-25 01:00:00+00:00,92138.71,92359.87,91307.79,92184.96,1.28312,0.0,0.004114928701655085,0.023478510367997203,0.0,0.0
2025-02-25 02:00:00+00:00,92181.62,92493.08,91609.31,92484.56,0.82886,0.0,0.003249987850512559,0.023986128599403654,0.0,0.0
2025-02-25 03:00:00+00:00,92410.44,92531.0,91986.29,92170.98,0.11701,0.0,-0.0033906200126810893,0.023983318054060787,0.0,0.0
2025-02-25 04:00:00+00:00,92210.07,92346.1,91798.03,92114.91,0.425,0.0,-0.0006083259611646685,0.023973822191569613,0.0,0.0
2025-02-25 05:00:00+00:00,91894.82,92140.65,91798.03,91883.29,0.231,0.0,-0.002514468070370035,0.0229289301283885,0.0,0.0
2025-02-25 06:00:00+00:00,91840.15,92143.04,91282.26,91544.57,0.14377,0.0,-0.003686415669268972,0.022863956130612238,0.0,0.0
2025-02-25 07:00:00+00:00,91539.68,91539.68,88500.0,89410.01,7.54344,0.0,-0.023317166709068693,0.03140339692214684,0.0,0.0
2025-02-25 08:00:00+00:00,89410.02,89963.88,89149.7,89510.35,0.71357,0.0,0.0011222457082826764,0.03163985751543859,0.0,0.0
2025-02-25 09:00:00+00:00,89515.0,89604.77,88417.15,88417.15,1.00452,0.0,-0.012213112785281366,0.03267922092370946,0.0,0.0
2025-02-25 10:00:00+00:00,88413.7,88749.96,86988.2,88267.58,7.05936,0.0,-0.0016916401399501568,0.03260248153274394,0.0,0.0
2025-02-25 11:00:00+00:00,88248.35,89273.58,87705.46,89212.1,0.63016,0.0,0.01070064456281683,0.03502221218583288,0.0,0.0
2025-02-25 12:00:00+00:00,89232.96,89500.0,88934.74,89304.39,0.7124,0.0,0.0010345009253227566,0.03518872602274271,0.0,0.0
2025-02-25 13:00:00+00:00,89329.65,89510.81,88831.63,88876.07,4.03341,0.0,-0.0047961807924559174,0.0351799094695899,0.0,0.0
2025-02-25 14:00:00+00:00,88831.6,89279.19,87182.29,87223.71,1.86957,0.0,-0.01859173116002988,0.038093133981296684,0.0,0.0
2025-02-25 15:00:00+00:00,87197.25,87705.35,86144.04,87320.15,8.05218,0.0,0.0011056626690149063,0.038336575493912235,0.0,0.0
2025-02-25 16:00:00+00:00,87434.89,87768.39,86231.15,87576.1,1.73915,0.0,0.00293116766290491,0.03853494170739864,0.0,0.0
2025-02-25 17:00:00+00:00,87500.0,87746.32,86853.26,87200.37,0.69859,0.0,-0.004290325785231475,0.0381875454073665,0.0,0.0
2025-02-25 18:00:00+00:00,87233.33,87738.36,87018.88,87206.73,0.61002,0.0,7.29354703425944e-05,0.03834064796924851,0.0,0.0
2025-02-25 19:00:00+00:00,87192.76,88020.05,86611.29,87902.34,0.5688,0.0,0.007976563276710369,0.03993960112853104,0.0,0.0
2025-02-25 20:00:00+00:00,87920.26,88947.23,87816.55,88130.56,0.63473,0.0,0.0025962903831684425,0.04019235130366033,0.0,0.0
2025-02-25 21:00:00+00:00,88248.29,88810.34,87844.34,88809.3,0.53712,0.0,0.007701528278045711,0.041456217557807526,0.0,0.0
2025-02-25 22:00:00+00:00,88809.29,89481.15,88691.16,88884.68,0.65188,0.0,0.0008487849808520576,0.03934824215389343,0.0,0.0
2025-02-25 23:00:00+00:00,88905.78,89171.43,88714.01,88778.23,0.57609,0.0,-0.0011976192072694625,0.03809551938033844,0.0,0.0
2025-02-26 00:00:00+00:00,88842.98,88842.98,88136.68,88140.68,0.38374,0.0,-0.007181377686849566,0.03825658219892002,0.0,0.0
2025-02-26 01:00:00+00:00,88280.47,88836.32,88150.18,88836.32,0.10111,0.0,0.007892382949621135,0.03902759075049168,0.0,0.0
2025-02-26 02:00:00+00:00,88797.82,89143.58,88410.48,89109.46,0.20151,0.0,0.003074643344073591,0.03900560702709673,0.0,0.0
2025-02-26 03:00:00+00:00,89039.79,89313.89,88986.36,88986.36,0.57023,0.0,-0.0013814470427719883,0.0389580392808255,0.0,0.0
2025-02-26 04:00:00+00:00,89073.68,89163.05,88715.82,88715.82,0.80463,0.0,-0.0030402412234863396,0.03897831860253644,0.0,0.0
2025-02-26 05:00:00+00:00,88639.0,88910.42,88558.96,88574.56,0.02377,0.0,-0.0015922751996206852,0.038965743603059794,0.0,0.0
2025-02-26 06:00:00+00:00,88492.17,88959.28,88492.17,88959.28,0.03209,0.0,0.004343459340921285,0.03932550068687634,0.0,0.0
2025-02-26 07:00:00+00:00,88857.9,89109.78,88567.25,88777.29,0.36295,0.0,-0.002045767456751113,0.03167827198773452,0.0,0.0
2025-02-26 08:00:00+00:00,88714.06,88714.06,88295.17,88587.83,0.03181,0.0,-0.0021341043413241056,0.03169367934487345,0.0,0.0
2025-02-26 09:00:00+00:00,88638.72,89273.58,88587.37,89249.06,0.03996,0.0,0.007464117813925419,0.030091179439533308,0.0,0.0
2025-02-26 10:00:00+00:00,89120.79,89273.58,88910.99,89273.58,0.03828,0.0,0.00027473678714384775,0.030013262121205482,0.0,0.0
2025-02-26 11:00:00+00:00,89290.67,89290.72,88638.76,88732.22,0.07354,0.0,-0.006064056129484241,0.028731593673778255,0.0,0.0
2025-02-26 12:00:00+00:00,88707.49,88707.49,87844.34,87982.37,0.17272,0.0,-0.00845070708250062,0.029851914705362966,0.0,0.0
2025-02-26 13:00:00+00:00,87879.19,87979.18,87172.0,87172.0,0.71343,0.0,-0.009210595259027454,0.030817833881732697,0.0,0.0
2025-02-26 14:00:00+00:00,87196.79,87640.77,85732.09,87571.74,2.14763,0.0,0.004585646767310658,0.02489346377225833,0.0,0.0
2025-02-26 15:00:00+00:00,87643.37,88455.24,87499.95,87592.1,0.50336,0.0,0.00023249509487888176,0.024874399392770478,0.0,0.0
2025-02-26 16:00:00+00:00,87592.1,87727.84,86427.63,86882.24,1.07946,0.0,-0.008104155511741373,0.026010737270079458,0.0,0.0
2025-02-26 17:00:00+00:00,86909.85,87243.32,85828.4,85831.55,0.27253,0.0,-0.012093265551164412,0.028347968973987975,0.0,0.0
2025-02-26 18:00:00+00:00,86125.59,86437.27,83556.6,84318.76,6.60955,0.0,-0.01762510405556006,0.03309278745186054,0.0,0.0
2025-02-26 19:00:00+00:00,84318.5,84997.98,83830.57,83993.91,0.87798,0.0,-0.0038526420454948473,0.03168888048041852,0.0,0.0
2025-02-26 20:00:00+00:00,84024.32,84613.39,82404.72,84370.0,2.88479,0.0,0.004477586529785249,0.03201965315318989,0.0,0.0
2025-02-26 21:00:00+00:00,84431.57,85049.27,83600.0,84445.34,1.53582,0.0,0.0008929714353442808,0.030609880604061526,0.0,0.0
2025-02-26 22:00:00+00:00,84613.39,85322.48,84234.57,84745.51,1.56733,0.0,0.003554607039299107,0.030997807316635626,0.0,0.0
2025-02-26 23:00:00+00:00,84753.96,84779.32,83985.5,84136.57,0.40247,0.0,-0.0071855134272008625,0.03141854728331101,0.0,0.0
